"","class","shippable","trans_elapsed_secs_d","time_delta","amount_delta","diff_avg_trans_amount_y","trans_count_d","trans_count_ratio_y","trans_total_y","notShippable_total_y","nonShippable_ratio_y","account_age","mean_time_delta_d","time_from_refDate","cust_ip_count_y","trans_card2_ratio_y","source_H","source_E","bill_loc_T","bill_loc_U","isWeekDay","spring","summer","fall","winter","bhours"
"647","0",1,-1.385468,-0.120601,-0.167566,0.6580712,-0.198512,0.1428571,1.691742,0.2753618,0.1462373,-0.3296017,0.6490498,1.331801,0.2014672,1.75,1,0,0,1,0,0,0,1,0,1
"648","0",1,0.2805448,-0.218938,0.1400582,2.778531,-0.198512,0.5,0.8988034,-0.2417568,0,-0.3438011,-0.2607359,0.7887583,-0.0890118,2,1,0,1,0,1,0,0,1,0,1
"649","0",0,-0.6407297,-0.2173771,0.1505216,2.181906e-19,-0.198512,1,-0.1658141,0.01680252,1,0.3785118,-0.4016223,0.007761233,-0.0890118,1,1,0,0,1,1,1,0,0,0,1
"650","0",1,0.410962035210054,-0.180851963506602,1.26215414565104,-2.68014632070732,-0.198511962336195,0.0769230769230769,5.86375558250489,4.62825976750068,0.44689089666692,0.861905769075474,-0.095842550543188,-1.14473900117561,-0.0890117975074001,3.25,1,0,1,0,0,1,0,0,0,1
"653","0",1,-3.88528113506045,0.307711174130796,0.883546159561204,-6.73304428870992,-0.198511962336195,0.5,2.02994853161183,-0.169360192417493,0.0175170791521734,-0.343801055849918,0.203467993107477,-1.5132583850782,-0.0890117975074001,2,1,0,0,1,1,0,0,1,0,0
"654","0",0,-3.901575,1.323236,-0.09599632,0.436519,-0.198512,0.5,0.1272591,0.5339212,1,-0.3456531,-0.2789394,0.7325725,-0.0890118,2,1,0,0,1,1,0,0,1,0,0
"655","0",0,-0.328805361612092,-0.208636065263617,-0.151159415512082,2.18190576893974e-19,-0.198511962336195,1,-0.0192775192125855,0.275361844049873,1,0.00624286106390535,-0.518221751711516,-0.907638854758085,-0.0890117975074001,1,1,0,0,1,0,0,0,1,0,1
"656","0",0,1.328923,0.08824799,0.1079146,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,2.521373,-0.182628,0.8686344,-0.0890118,1,1,0,0,1,1,0,0,0,1,0
"657","0",1,-0.4586703,-0.1767936,2.452472,2.181906e-19,-0.198512,1,1.446088,-0.2417568,0,3.552367,-0.1927595,0.7058998,-0.0890118,1,1,0,1,0,1,0,1,0,0,1
"658","0",1,-3.85241792639155,-0.157126213691623,0.187687616920299,2.18190576893974e-19,-0.198511962336195,1,0.0243317648986631,-0.241756803005203,0,-0.337627441795001,-0.457496831841995,-0.642166003607412,-0.0890117975074001,1,1,0,0,1,0,1,0,0,0,0
"660","0",1,1.47804975198869,0.473167060998413,-0.311040302850483,2.18190576893974e-19,-0.198511962336195,1,0.0596763862952799,-0.241756803005203,0,-0.195634318531898,0.31490835378255,-0.734183069500135,-0.0890117975074001,1,1,0,0,1,1,0,0,0,1,0
"661","0",1,-0.5168713,-0.1855347,-0.0001514989,1.261278,-0.198512,0.25,1.23783,0.2753618,0.1890574,4.07342,0.8785756,1.362642,-0.0890118,4,1,0,0,1,0,0,0,1,0,1
"662","0",1,-0.970259293844902,-0.200207180460927,0.198653269402671,2.18190576893974e-19,-0.198511962336195,1,-0.0266043478603088,-0.241756803005203,0,2.83437545962162,-0.655888203642215,-0.696538831979628,-0.0890117975074001,1,1,0,1,0,1,0,0,0,0,1
"663","0",0,0.4134475,-0.1880321,0.06681432,0.3393208,-0.198512,0.3333333,0.1222768,0.1719381,0.5394471,2.803507,-0.47379,-0.3364214,0.4919462,0.75,1,0,0,1,1,0,0,1,0,1
"664","0",0,0.154615199521708,-0.210821331693944,0.234228859517237,2.18190576893974e-19,-0.198511962336195,1,-0.107199462985264,0.12022624993335,1,3.16713325718168,-0.334081659406522,-0.837093238462863,-0.0890117975074001,1,1,0,0,1,1,0,0,1,0,1
"665","0",0,-0.1662844,-0.2052021,0.1505216,2.181906e-19,-0.198512,1,-0.1658141,0.01680252,1,0.09390818,-0.05854547,-0.06713126,-0.0890118,1,1,0,0,1,1,1,0,0,0,1
"666","0",1,1.307658,0.01301239,0.04170214,2.181906e-19,-0.198512,1,-0.1365068,-0.2417568,0,-0.3456531,2.907548,1.084486,-0.0890118,1,1,0,1,0,0,1,0,0,0,0
"667","0",0,-0.448866537820558,-0.129654292853226,0.234228859517237,2.18190576893974e-19,-0.198511962336195,1,-0.107199462985264,0.12022624993335,1,0.467411830966244,-0.546330163014934,-0.900015151496571,-0.0890117975074001,1,1,0,0,0,1,0,0,1,0,1
"668","0",0,-0.8620731,-0.1727353,0.4183849,-1.222253,-0.198512,0.5,0.4496395,0.7924805,0.7692308,-0.254901,1.103386,1.149758,0.2014672,2,1,0,1,0,0,0,1,0,0,1
"669","0",0,-3.69245142537084,-0.19302701933271,0.209116678259896,2.18190576893974e-19,-0.198511962336195,1,-0.0192775192125855,0.275361844049873,1,0.794613375876873,-0.605749493658412,-1.10598863290305,-0.0890117975074001,1,1,0,0,1,1,0,1,0,0,0
"670","0",0,-0.3186564,0.3901269,0.4786541,-1.164051,-0.198512,0.3333333,1.739161,3.378074,1,2.251586,0.2936531,0.4196569,-0.0890118,3,1,0,1,0,0,0,0,0,0,1
"671","0",0,-2.927968,0.07388767,-0.6793523,2.181906e-19,-0.198512,1,-0.2018035,-0.04669965,1,1.4342,-0.479726,-0.08161816,-0.0890118,1,1,0,0,1,1,1,0,0,0,0
"672","0",0,1.29723306395535,0.417911038403001,0.112434780419136,2.18190576893974e-19,-0.198511962336195,0.333333333333333,0.566868772605273,1.30959913816002,1,0.473585445021162,-0.159621820765635,-0.830676379541982,0.491946245839524,3,1,0,0,1,1,0,0,1,0,0
"674","0",1,-1.033776,-0.04692635,-0.01881822,2.181906e-19,-0.198512,1,-0.09389394,-0.2417568,0,-0.3456531,0.7112957,1.405375,-0.0890118,1,1,0,0,1,0,0,0,1,0,1
"675","0",1,-0.1452271,7.568103,0.8999528,2.181906e-19,-0.198512,1,0.5668688,-0.2417568,0,1.951549,4.716418,1.498988,-0.0890118,1,1,0,0,1,1,0,0,0,1,1
"676","0",0,-0.5422781,-0.2339227,-0.0001514989,0.2619114,-0.198512,0.5,0.1858737,0.6373449,1,5.932912,-0.4685028,0.6921003,0.2014672,2,1,0,0,1,1,0,1,0,0,1
"678","0",0,-1.292194,-0.2173771,0.134952,2.181906e-19,-0.198512,1,-0.1071995,0.1202262,1,2.993655,-0.5637853,-0.08579106,-0.0890118,1,1,0,0,0,1,1,0,0,0,1
"679","0",1,1.143549,-0.2242451,0.9624821,-2.182595,-0.198512,0.5,0.7134053,0.01680252,0.1428571,-0.06043217,-0.5152513,0.3388943,0.2014672,2,1,0,1,0,1,0,0,0,1,0
"680","0",0,-3.473179,2.13116,-1.088346,2.181906e-19,-0.198512,1,-0.1951214,-0.03490934,1,-0.3456531,2.511433,1.087852,-0.0890118,1,1,0,0,1,1,1,0,0,0,0
"681","0",0,-1.011753,-0.1867834,-0.0001514989,0.02234977,-0.198512,0.5,0.1054544,0.1202262,0.4910213,-0.3221934,-0.2054181,1.148189,-0.0890118,2,1,0,0,1,0,0,1,0,0,1
"685","0",0,1.325125,-0.1742962,-0.4186879,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,-0.1635315,0.06507189,1.037033,-0.0890118,1,1,0,0,0,1,1,0,0,0,0
"686","0",0,-0.356490543705016,-0.213006598124271,0.778326120092947,2.18190576893974e-19,-0.198511962336195,1,0.273795626696344,0.792480491104948,1,0.0827956753448826,-0.659653970054167,-0.909176863238525,-0.0890117975074001,1,1,0,0,1,0,0,0,1,0,1
"690","0",1,0.804768216402169,-0.223620749357288,0.256913529919701,2.18190576893974e-19,-0.198511962336195,1,-0.0913148984770003,-0.241756803005203,0,-0.345653140066393,-0.280590476047338,-1.39723696890389,-0.0890117975074001,1,1,0,0,0,1,0,0,1,0,0
"691","0",0,-1.128362,-0.1836616,-0.2094197,2.181906e-19,-0.198512,1,-0.1658141,0.01680252,1,-0.3326886,-0.4600813,0.1959372,-0.0890118,1,1,0,0,1,0,0,0,1,0,1
"692","0",1,1.18110718794463,0.210935089359171,-0.328116586105474,2.18190576893974e-19,-0.198511962336195,1,0.566868772605273,-0.241756803005203,0,-0.345653140066393,1.56229660529501,-1.24251915588399,-0.0890117975074001,1,1,0,1,0,1,1,0,0,0,0
"693","0",0,-0.8279671,-0.184286,0.1254094,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,0.6680543,-0.2882035,0.5419984,-0.0890118,1,1,0,1,0,1,1,0,0,0,1
"694","0",0,-3.05445,-0.1902174,-0.0001514989,0.1746076,-0.198512,0.5,0.03933711,0.3787856,1,1.011925,-0.466327,-0.3327188,-0.0890118,2,1,0,0,1,1,0,0,1,0,0
"696","0",0,-0.291109328138934,-0.235795805183396,-0.000151498884607502,2.18190576893974e-19,-0.198511962336195,1,-0.16581409216705,0.0168025205223347,1,0.114281107024962,-0.605749493658412,-1.1051156991143,-0.0890117975074001,1,1,0,0,1,1,0,1,0,0,1
"697","0",0,1.582163,-0.05847704,-0.2724513,2.181906e-19,-0.198512,1,-0.01927752,0.2753618,1,3.973407,-0.3819471,-0.3621469,-0.0890118,1,1,0,0,1,0,0,0,1,0,0
"698","0",1,0.179745888503813,-0.205202075158817,-1.17816392166645,2.18190576893974e-19,-0.198511962336195,1,-0.0746097291601913,-0.241756803005203,0,-0.198103764153865,-0.214313859750602,-1.41117550630742,-0.0890117975074001,1,1,0,0,1,0,0,0,1,0,1
"699","0",0,-4.185192,-0.05910141,-0.9627851,2.007988,-0.198512,0.5,0.77202,0.1202262,0.1891892,-0.3438011,-0.2984089,0.3069086,0.2014672,0.5,1,0,0,1,1,0,0,0,1,0
"700","0",1,1.285151,0.8896164,0.164417,-0.03387388,0.6854822,1,0.2851669,0.2753618,0.4904846,-0.3271323,-0.05762263,-0.3040488,-0.0890118,2,1,0,1,0,1,0,0,1,0,0
"701","0",1,-3.67629598245377,-0.137770996737298,-0.931478594448508,2.18190576893974e-19,-0.198511962336195,1,0.207795554237653,-0.241756803005203,0,-0.345035778660902,2.94019850339092,-1.27897655357504,-0.0890117975074001,1,1,0,0,1,1,0,0,0,0,0
"702","0",1,0.396394520442954,-0.232361815078596,1.35942199438781,2.18190576893974e-19,-0.198511962336195,1,0.680698382476301,-0.241756803005203,0,-0.330836466334591,0.796510226522559,-1.24118964437697,-0.0890117975074001,1,1,0,0,1,0,1,0,0,0,1
"703","0",0,-0.137632620426789,0.655792898390028,7.95203923260654,2.18190576893974e-19,-0.198511962336195,1,5.54911225305707,10.1006161380963,1,-0.345653140066393,3.91334351382734,-1.71437580240506,-0.0890117975074001,1,1,0,0,1,1,1,0,0,0,1
"704","0",1,-2.8049376702473,0.737584299067982,-0.318322835415111,2.18190576893974e-19,-0.198511962336195,1,0.0865805010897197,-0.241756803005203,0,-0.340096887416968,5.02552429140226,-1.69975131757808,-0.0890117975074001,1,1,0,0,0,1,1,0,0,0,0
"706","0",0,1.36075018995408,0.0923063402842754,-0.418687853173615,2.18190576893974e-19,-0.198511962336195,1,-0.16581409216705,0.0168025205223347,1,3.09922350257758,-0.163324894040846,-0.818412852284435,-0.0890117975074001,1,1,0,0,1,1,0,0,0,1,0
"708","0",0,-0.711357965045737,-0.178978877994893,-0.12571240517131,2.18190576893974e-19,-0.198511962336195,1,-0.107199462985264,0.12022624993335,1,0.304428419916422,-0.650448014312918,-0.910798841053291,-0.0890117975074001,1,1,0,1,0,1,0,0,1,0,1
"709","0",1,0.7080427,0.6189555,-0.4473157,2.181906e-19,-0.198512,1,0.07708493,-0.2417568,0,1.857092,5.64449,1.064431,-0.0890118,1,1,0,1,0,0,1,0,0,0,0
"710","0",1,0.531437453544598,0.141943106344561,2.09194432166443,2.18190576893974e-19,-0.198511962336195,1,1.56806525365936,-0.241756803005203,0,-0.345653140066393,7.71563295619356,-1.81218189741846,-0.0890117975074001,1,1,0,0,1,1,0,0,0,0,0
